"Dataset: ACS 5-Year Estimates Public Use Microdata Sample (2023)"
"Weight: Housing Unit Weight (WGTP)"
"Universe:"
"Selected Geographies: Default (usually U.S.)"
"","","","Citizenship status (CIT)","","","","","","","","","","","","","",""
"","","","Born in the U.S.","","","Born in Puerto Rico, Guam, the U.S. Virgin Islands, or the Northern Marianas","","","Born abroad of U.S. citizen parent or parents","","","U.S. citizen by naturalization","","","Not a citizen of the U.S.","",""
"","","","Asian recode (Asian alone or in combination with one or more other races) (RACASN)","","","Asian recode (Asian alone or in combination with one or more other races) (RACASN)","","","Asian recode (Asian alone or in combination with one or more other races) (RACASN)","","","Asian recode (Asian alone or in combination with one or more other races) (RACASN)","","","Asian recode (Asian alone or in combination with one or more other races) (RACASN)","",""
"Group","Yearly food stamp/Supplemental Nutrition Assistance Program (SNAP) recipiency","Total","Total Asian recode (Asian alone or in combination with one or more other races) (RACASN)","No","Yes","Total Asian recode (Asian alone or in combination with one or more other races) (RACASN)","No","Yes","Total Asian recode (Asian alone or in combination with one or more other races) (RACASN)","No","Yes","Total Asian recode (Asian alone or in combination with one or more other races) (RACASN)","No","Yes","Total Asian recode (Asian alone or in combination with one or more other races) (RACASN)","No","Yes"
"","Total","315,475,116","265,124,630","255,256,030","9,868,600","1,971,805","1,927,201","44,604","3,366,313","2,820,231","546,082","23,723,665","15,903,582","7,820,083","21,288,703","16,346,096","4,942,607"
"","No","21,795","0","0","0","0","0","0","631","574","57","14,035","13,811","224","7,129","6,180","949"
"","N/A (vacant)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Pennsylvania/PA","","12,891,781","12,891,781","12,655,791","235,990","0","0","0","0","0","0","0","0","0","0","0","0"
"","Yes","1,649,817","1,649,817","1,618,994","30,823","0","0","0","0","0","0","0","0","0","0","0","0"
"","No","11,241,964","11,241,964","11,036,797","205,167","0","0","0","0","0","0","0","0","0","0","0","0"
"","N/A (vacant)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Rhode Island/RI","","1,027,382","1,027,382","1,002,277","25,105","0","0","0","0","0","0","0","0","0","0","0","0"
"","Yes","125,978","125,978","123,517","2,461","0","0","0","0","0","0","0","0","0","0","0","0"
"","No","901,404","901,404","878,760","22,644","0","0","0","0","0","0","0","0","0","0","0","0"
"","N/A (vacant)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> West Virginia/WV","","2,057,323","2,057,323","2,045,155","12,168","0","0","0","0","0","0","0","0","0","0","0","0"
"","Yes","341,805","341,805","340,859","946","0","0","0","0","0","0","0","0","0","0","0","0"
"","No","1,715,518","1,715,518","1,704,296","11,222","0","0","0","0","0","0","0","0","0","0","0","0"
"","N/A (vacant)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Australia","","119,974","0","0","0","0","0","0","24,932","22,923","2,009","35,019","31,801","3,218","60,023","53,503","6,520"
"","Yes","3,775","0","0","0","0","0","0","983","789","194","1,295","997","298","1,497","1,307","190"
"","No","116,199","0","0","0","0","0","0","23,949","22,134","1,815","33,724","30,804","2,920","58,526","52,196","6,330"
"","N/A (vacant)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Fiji","","43,343","0","0","0","0","0","0","2,306","1,975","331","30,662","20,940","9,722","10,375","8,607","1,768"
"","Yes","4,768","0","0","0","0","0","0","432","302","130","2,903","1,951","952","1,433","1,238","195"
"","No","38,575","0","0","0","0","0","0","1,874","1,673","201","27,759","18,989","8,770","8,942","7,369","1,573"
"","N/A (vacant)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> New Zealand","","38,313","0","0","0","0","0","0","6,384","5,977","407","14,643","13,073","1,570","17,286","16,109","1,177"
"","Yes","1,709","0","0","0","0","0","0","339","283","56","693","600","93","677","668","9"
"","No","36,604","0","0","0","0","0","0","6,045","5,694","351","13,950","12,473","1,477","16,609","15,441","1,168"
"","N/A (vacant)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Bermuda","","15,130","0","0","0","0","0","0","7,990","7,786","204","4,296","4,225","71","2,844","2,516","328"
"","Yes","1,094","0","0","0","0","0","0","407","365","42","530","510","20","157","145","12"
"","No","14,036","0","0","0","0","0","0","7,583","7,421","162","3,766","3,715","51","2,687","2,371","316"
"","N/A (vacant)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Ghana","","212,034","0","0","0","0","0","0","13,525","13,365","160","123,184","122,352","832","75,325","75,086","239"
"","Yes","25,025","0","0","0","0","0","0","2,289","2,289","0","13,750","13,750","0","8,986","8,967","19"
"","No","187,009","0","0","0","0","0","0","11,236","11,076","160","109,434","108,602","832","66,339","66,119","220"
"","N/A (vacant)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Liberia","","98,446","0","0","0","0","0","0","5,322","5,296","26","59,129","58,965","164","33,995","33,878","117"
"","Yes","19,809","0","0","0","0","0","0","1,185","1,185","0","10,680","10,680","0","7,944","7,944","0"
"","No","78,637","0","0","0","0","0","0","4,137","4,111","26","48,449","48,285","164","26,051","25,934","117"
"","N/A (vacant)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Myanmar","","162,265","0","0","0","0","0","0","2,527","427","2,100","95,620","1,446","94,174","64,118","730","63,388"
"","Yes","50,688","0","0","0","0","0","0","738","0","738","28,801","285","28,516","21,149","31","21,118"
"","No","111,577","0","0","0","0","0","0","1,789","427","1,362","66,819","1,161","65,658","42,969","699","42,270"
"","N/A (vacant)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> South Africa","","130,113","0","0","0","0","0","0","12,334","11,647","687","73,013","67,377","5,636","44,766","42,019","2,747"
"","Yes","6,947","0","0","0","0","0","0","1,012","907","105","3,251","2,899","352","2,684","2,532","152"
"","No","123,166","0","0","0","0","0","0","11,322","10,740","582","69,762","64,478","5,284","42,082","39,487","2,595"
"","N/A (vacant)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Indonesia","","101,814","0","0","0","0","0","0","5,802","2,772","3,030","52,415","3,753","48,662","43,597","1,646","41,951"
"","Yes","7,501","0","0","0","0","0","0","818","398","420","3,955","169","3,786","2,728","129","2,599"
"","No","94,313","0","0","0","0","0","0","4,984","2,374","2,610","48,460","3,584","44,876","40,869","1,517","39,352"
"","N/A (vacant)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Jamaica","","804,967","0","0","0","0","0","0","37,058","36,153","905","548,670","536,294","12,376","219,239","216,714","2,525"
"","Yes","134,542","0","0","0","0","0","0","7,772","7,704","68","86,957","85,448","1,509","39,813","39,519","294"
"","No","670,425","0","0","0","0","0","0","29,286","28,449","837","461,713","450,846","10,867","179,426","177,195","2,231"
"","N/A (vacant)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Zambia","","16,814","0","0","0","0","0","0","1,552","1,475","77","8,463","5,510","2,953","6,799","6,428","371"
"","Yes","1,906","0","0","0","0","0","0","263","263","0","823","694","129","820","820","0"
"","No","14,908","0","0","0","0","0","0","1,289","1,212","77","7,640","4,816","2,824","5,979","5,608","371"
"","N/A (vacant)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Trinidad and Tobago","","231,317","0","0","0","0","0","0","9,540","8,945","595","167,254","138,566","28,688","54,523","45,827","8,696"
"","Yes","36,375","0","0","0","0","0","0","1,484","1,445","39","24,741","21,188","3,553","10,150","9,327","823"
"","No","194,942","0","0","0","0","0","0","8,056","7,500","556","142,513","117,378","25,135","44,373","36,500","7,873"
"","N/A (vacant)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Philippines","","2,107,727","0","0","0","0","0","0","148,856","31,391","117,465","1,455,237","23,991","1,431,246","503,634","9,084","494,550"
"","Yes","205,167","0","0","0","0","0","0","13,364","2,174","11,190","137,399","3,308","134,091","54,404","1,466","52,938"
"","No","1,902,560","0","0","0","0","0","0","135,492","29,217","106,275","1,317,838","20,683","1,297,155","449,230","7,618","441,612"
"","N/A (vacant)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Saudi Arabia","","73,640","0","0","0","0","0","0","12,172","10,342","1,830","21,011","13,039","7,972","40,457","31,506","8,951"
"","Yes","7,302","0","0","0","0","0","0","856","804","52","2,473","2,050","423","3,973","3,513","460"
"","No","66,338","0","0","0","0","0","0","11,316","9,538","1,778","18,538","10,989","7,549","36,484","27,993","8,491"
"","N/A (vacant)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Ireland","","126,231","0","0","0","0","0","0","10,931","10,686","245","78,010","77,359","651","37,290","36,677","613"
"","Yes","4,538","0","0","0","0","0","0","845","831","14","2,696","2,682","14","997","997","0"
"","No","121,693","0","0","0","0","0","0","10,086","9,855","231","75,314","74,677","637","36,293","35,680","613"
"","N/A (vacant)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Ecuador","","510,851","0","0","0","0","0","0","18,238","18,043","195","243,666","241,858","1,808","248,947","247,002","1,945"
"","Yes","78,540","0","0","0","0","0","0","2,131","2,083","48","39,608","39,288","320","36,801","36,758","43"
"","No","432,311","0","0","0","0","0","0","16,107","15,960","147","204,058","202,570","1,488","212,146","210,244","1,902"
"","N/A (vacant)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> United Arab Emirates","","30,785","0","0","0","0","0","0","5,807","4,755","1,052","11,316","4,573","6,743","13,662","6,174","7,488"
"","Yes","2,569","0","0","0","0","0","0","616","489","127","909","694","215","1,044","566","478"
"","No","28,216","0","0","0","0","0","0","5,191","4,266","925","10,407","3,879","6,528","12,618","5,608","7,010"
"","N/A (vacant)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
